id,key,name,wiki,image_wiki
1,1,Lamball,https://palworld.fandom.com/wiki/Lamball,https://static.wikia.nocookie.net/palworld/images/0/01/Lamball_menu.png/
2,2,Cattiva,https://palworld.fandom.com/wiki/Cattiva,https://static.wikia.nocookie.net/palworld/images/5/51/Cattiva_menu.png/
3,3,Chikipi,https://palworld.fandom.com/wiki/Chikipi,https://static.wikia.nocookie.net/palworld/images/f/f4/Chikipi_menu.png/
4,4,Lifmunk,https://palworld.fandom.com/wiki/Lifmunk,https://static.wikia.nocookie.net/palworld/images/d/dc/Lifmunk_menu.png/
5,5,Foxparks,https://palworld.fandom.com/wiki/Foxparks,https://static.wikia.nocookie.net/palworld/images/d/d7/Foxparks_menu.png/
6,6,Fuack,https://palworld.fandom.com/wiki/Fuack,https://static.wikia.nocookie.net/palworld/images/5/5e/Fuack_menu.png/
7,7,Sparkit,https://palworld.fandom.com/wiki/Sparkit,https://static.wikia.nocookie.net/palworld/images/c/ce/Sparkit_menu.png/
8,8,Tanzee,https://palworld.fandom.com/wiki/Tanzee,https://static.wikia.nocookie.net/palworld/images/4/40/Tanzee_menu.png/
9,9,Rooby,https://palworld.fandom.com/wiki/Rooby,https://static.wikia.nocookie.net/palworld/images/2/21/Rooby_menu.png/
10,10,Pengullet,https://palworld.fandom.com/wiki/Pengullet,https://static.wikia.nocookie.net/palworld/images/3/38/Pengullet_menu.png/
11,11,Penking,https://palworld.fandom.com/wiki/Penking,https://static.wikia.nocookie.net/palworld/images/b/b5/Penking_menu.png/
12,12,Jolthog,https://palworld.fandom.com/wiki/Jolthog,https://static.wikia.nocookie.net/palworld/images/5/52/Jolthog_menu.png/
13,13,Gumoss,https://palworld.fandom.com/wiki/Gumoss,https://static.wikia.nocookie.net/palworld/images/2/2e/Gumoss_menu.png/
14,14,Vixy,https://palworld.fandom.com/wiki/Vixy,https://static.wikia.nocookie.net/palworld/images/9/9e/Vixy_menu.png/
15,15,Hoocrates,https://palworld.fandom.com/wiki/Hoocrates,https://static.wikia.nocookie.net/palworld/images/e/ef/Hoocrates_menu.png/
16,16,Teafant,https://palworld.fandom.com/wiki/Teafant,https://static.wikia.nocookie.net/palworld/images/a/a7/Teafant_menu.png/
17,17,Depresso,https://palworld.fandom.com/wiki/Depresso,https://static.wikia.nocookie.net/palworld/images/d/d9/Depresso_menu.png/
18,18,Cremis,https://palworld.fandom.com/wiki/Cremis,https://static.wikia.nocookie.net/palworld/images/a/a1/Cremis_menu.png/
19,19,Daedream,https://palworld.fandom.com/wiki/Daedream,https://static.wikia.nocookie.net/palworld/images/e/e6/Daedream_menu.png/
20,20,Rushoar,https://palworld.fandom.com/wiki/Rushoar,https://static.wikia.nocookie.net/palworld/images/d/d0/Rushoar_menu.png/
21,21,Nox,https://palworld.fandom.com/wiki/Nox,https://static.wikia.nocookie.net/palworld/images/5/55/Nox_menu.png/
22,22,Fuddler,https://palworld.fandom.com/wiki/Fuddler,https://static.wikia.nocookie.net/palworld/images/6/64/Fuddler_menu.png/
23,23,Killamari,https://palworld.fandom.com/wiki/Killamari,https://static.wikia.nocookie.net/palworld/images/8/80/Killamari_menu.png/
24,24,Mau,https://palworld.fandom.com/wiki/Mau,https://static.wikia.nocookie.net/palworld/images/1/17/Mau_menu.png/
